Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ⲙ̄ⲙ︤ⲛ︥ⲧⲉ	EXIST	ⲙⲙⲛⲧⲉ
ⲣⲱⲙⲉ	N	ⲣⲱⲙⲉ
ⲉ	CREL	ⲉ
ⲟⲩⲛ̄ⲧ︤	EXIST	ⲟⲩⲛⲧ
ϥ︥	PPERO	ϥ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲙ̄ⲙⲁⲩ	ADV	ⲙⲙⲁⲩ
ϣⲓⲡⲉ	V	ϣⲓⲡⲉ
ⲉⲛⲉϩ⳿	ADV	ⲉⲛⲉϩ
ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
,	PUNCT	,
ⲡ	ART	ⲡ
ϣⲓⲡⲉ	N	ϣⲓⲡⲉ
ⲙ̄	PREP	ⲙ
ⲡⲉⲓ̈	PDEM	ⲡⲉⲓ
ⲙⲁ⳿	N	ⲙⲁ
,	PUNCT	,
ⲡ	ART	ⲡ
ⲉⲟⲟⲩ	N	ⲉⲟⲟⲩ
ⲙ̄	PREP	ⲙ
ⲡⲉⲓ̈	PDEM	ⲡⲉⲓ
ⲙⲁ⳿	N	ⲙⲁ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲡⲁⲣⲁⲓⲧⲉⲓ⳿	V	ⲡⲁⲣⲁⲓⲧⲉⲓ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲩ	PPERO	ⲩ
,	PUNCT	,
ϯ	PPERS	ϯ
ⲥⲟⲟⲩ⳯ ⳿	V	ⲥⲟⲟⲩⲛ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲉ	CREL	ⲉⲧ
ϯ	PPERS	ⲓ
ϭⲱϣ︤ⲧ︥	V	ϭⲱϣⲧ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩⲏⲧ︤	N	ϩⲏⲧ
ϥ︥	PPERO	ϥ
.	PUNCT	.
ⲛ	ART	ⲛ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲟⲩⲛ̄ⲧⲁ	EXIST	ⲟⲩⲛⲧⲁ
ⲩ	PPERO	ⲩ
ⲡ	ART	ⲡ
ⲉⲟⲟⲩ	N	ⲉⲟⲟⲩ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡ	ART	ⲡ
ⲧⲁⲉⲓⲟ̂	N	ⲧⲁⲉⲓⲟ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩⲓⲧ︤ⲛ︥	PREP	ϩⲓⲧⲛ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
.	PUNCT	.
ⲉ	CFOC	ⲉ
ⲩ	PPERS	ⲩ
ⲣ	V	ⲣ
ⲟ ̂ⲩ	PINT	ⲟⲩ
ⲛ̄	PREP	ⲛ
ⲉⲟⲟⲩ	N	ⲉⲟⲟⲩ
ϩⲓ	PREP	ϩⲓ
ⲧⲁⲉⲓⲟ̂	N	ⲧⲁⲉⲓⲟ
ⲛ̄	PREP	ⲛ
ⲣⲱⲙⲉ	N	ⲣⲱⲙⲉ
 =-.	PUNCT	.
Ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲙ︤ⲛ︥	EXIST	ⲙⲛ
ⲙ︤ⲛ︦ⲧ︥ⲗⲏⲥⲧⲏⲥ⳿	N	ⲙⲛⲧⲗⲏⲥⲧⲏⲥ
ϣⲟⲟⲡ̂	VSTAT	ϣⲟⲟⲡ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲟⲩⲛ̄ⲧⲁ	EXIST	ⲟⲩⲛⲧⲁ
ⲩ	PPERO	ⲩ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲙⲉ⳿	N	ⲙⲉ
ⲕⲁⲧⲁ	PREP	ⲕⲁⲧⲁ
ⲡ	ART	ⲡ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ϥ⳿	PPERO	ϥ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲓ̈	PPERO	ⲓ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ϥⲓ	V	ϥⲓ
ⲛ̄ⲛ̄	PREP	ⲛ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲟⲩ	ART	ⲟⲩ
ⲥⲣⲁϩ︤ⲧ︥	N	ⲥⲣⲁϩⲧ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲩ	PPERS	ⲩ
ⲙⲟⲩⲣ⳿	V	ⲙⲟⲩⲣ
ⲙ̄	PREP	ⲙ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲥⲱϣ	N	ⲥⲱϣ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ϣⲓⲡⲉ	N	ϣⲓⲡⲉ
ⲉϩⲟⲩⲛ⳿	ADV	ⲉϩⲟⲩⲛ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ⲟⲩⲉϭⲣⲟ̂	N	ⲟⲩⲉϭⲣⲟ
ⲙ̄	PREP	ⲙ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲏⲓ̈	N	ⲏⲓ
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲥⲏϩ⳿	VSTAT	ⲥⲏϩ
ⲉ	PREP	ⲉ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲭⲁⲣⲧⲏⲥ⳿	N	ⲭⲁⲣⲧⲏⲥ
·	PUNCT	·
ⲉ	CCIRC	ⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲟⲩⲱ̂ϭ︤ⲡ︥	V	ⲟⲩⲱϭⲡ
ⲛ̄	PREP	ⲛ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ⲙⲏⲙⲟⲟⲩ	N	ⲙⲏⲙⲟⲟⲩ
ⲉⲧ	CREL	ⲉⲧ
ϩ︤ⲛ︥	PREP	ϩⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ϣⲟϣⲟⲩ	N	ϣⲟϣⲟⲩ
ϩⲱⲥ	CONJ	ϩⲱⲥ
ⲏ̂ⲣⲡ̄	N	ⲏⲣⲡ
ϩⲓϫ︤ⲛ︥	PREP	ϩⲓϫⲛ
ⲙ̄	ART	ⲙ
ⲡⲛⲏ⳿	N	ⲡⲛⲏ
ⲙ̄	PREP	ⲙ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲏⲓ̈	N	ⲏⲓ
.	PUNCT	.
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉϩⲟⲩⲛ	ADV	ⲉϩⲟⲩⲛ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲣⲟ̂	N	ⲣⲟ
,	PUNCT	,
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡ	ART	ⲡ
ⲣⲟ̂	N	ⲣⲟ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲉⲓⲛⲉ	V	ⲉⲓⲛⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲕ	PPERO	ⲕ
,	PUNCT	,
ⲉ	CCIRC	ⲉ
ⲙⲙ︤ⲛ︥	EXIST	ⲙⲙⲛ
ⲙ︤ⲛ︦ⲧ︥ⲣ︤ⲙ︥ϩⲉ⳿	N	ⲙⲛⲧⲣⲙϩⲉ
ϣⲟⲟⲡ	VSTAT	ϣⲟⲟⲡ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲕⲱ	V	ⲕⲱ
ⲛ̄	PREP	ⲛ
ϩⲧⲏ	N	ϩⲧⲏ
ⲩ	PPERO	ⲩ
ⲉ	PREP	ⲉ
ⲕⲣⲟⲛⲟⲥ⳿	N	ⲕⲣⲟⲛⲟⲥ
,	PUNCT	,
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲡⲉ⳿	COP	ⲡⲉ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲧ︤ⲛ︥ⲧⲱⲛ⳿	VSTAT	ⲧⲛⲧⲱⲛ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲕ	PPERO	ⲕ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲙ̄	ART	ⲙ
ⲙ︤ⲛ︦ⲧ︥ⲁⲡⲓⲥⲧⲟⲥ⳿	N	ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ
,	PUNCT	,
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲙ︤ⲛ︦ⲧ︥ⲁⲕⲁⲑⲁⲣⲧⲟⲥ⳿	N	ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
=	PUNCT	.
ⲟⲩ⳿	PINT	ⲟⲩ
ⲛ̄	PREP	ⲛ
Ϩⲱⲃ⳿	N	ϩⲱⲃ
ⲏ⳿	CONJ	ⲏ
ⲁϣ	PINT	ⲁϣ
ⲛ̄	PREP	ⲛ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛ	ART	ⲛ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ⲩ	PPERO	ⲩ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲟ⳿	VSTAT	ⲟ
ⲙ̄	PREP	ⲙ
ⲙⲛ̄ⲧⲣⲉ	N	ⲙⲛⲧⲣⲉ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲕ	PPERO	ⲕ
ⲁⲛ⳿	NEG	ⲁⲛ
ϫⲉ	CONJ	ϫⲉ
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ⲏⲡ̂	VSTAT	ⲏⲡ
ⲉ	PREP	ⲉ
ⲡ	ART	ⲡ
ⲥⲁⲧⲁⲛⲁⲥ⳿	NPROP	ⲥⲁⲧⲁⲛⲁⲥ
.	PUNCT	.
ⲛ	ART	ⲛ
ⲉⲡⲓⲥⲧⲟⲗⲏ	N	ⲉⲡⲓⲥⲧⲟⲗⲏ
ⲛⲉ⳿	COP	ⲛⲉ
ⲛ̄ⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ⲡⲁϩ	V	ⲡⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
,	PUNCT	,
ⲏ̂	CONJ	ⲏ
ϯ	PPERS	ϯ
ⲥⲟⲟⲩⲛ	V	ⲥⲟⲟⲩⲛ
ⲁⲛ⳿	NEG	ⲁⲛ
ⲙ̄ⲡⲁ	ANY	ⲙⲡⲁⲧ
ϯ	PPERS	ⲓ
ϫⲟⲟⲩ	V	ϫⲟⲟⲩ
ⲥⲟⲩ	PPERO	ⲥⲟⲩ
ϫⲉ	CONJ	ϫⲉ
ⲕ	PPERS	ⲕ
ⲛⲁ	FUT	ⲛⲁ
ⲡⲁϩ	V	ⲡⲁϩ
ⲟⲩ	PPERO	ⲟⲩ
,	PUNCT	,
ⲡⲉ	ART	ⲡⲉ
ϣ︤ⲃ︦ⲣ︥	N	ϣⲃⲣ
ⲣ̄ϩⲱⲃ	N	ⲣϩⲱⲃ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ϣⲱⲱⲧ	V	ϣⲱⲱⲧ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡ	ART	ⲡ
ⲧⲟⲕ⳿	VSTAT	ⲧⲟⲕ
ⲙ̄	PREP	ⲙ
ⲡⲉ	ART	ⲡⲉ
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ⳿	N	ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ
ⲛ̄	PREP	ⲛ
ⲛ̄	ART	ⲛ
ⲥⲉⲗⲓⲥ⳿	N	ⲥⲉⲗⲓⲥ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϫⲱⲱ̂ⲙⲉ⳿	N	ϫⲱⲱⲙⲉ
ⲛ̄	PREP	ⲛ
ⲛ̄	ART	ⲛ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲛⲉ	ART	ⲛⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ϫⲟⲟⲩ	V	ϫⲟⲟⲩ
ⲥⲉ	PPERO	ⲥⲉ
ⲛⲁ	PREP	ⲛⲁ
ⲩ	PPERO	ⲩ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡ	ART	ⲡ
ⲣⲁⲛ⳿	N	ⲣⲁⲛ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲛⲟϫ	V	ⲛⲟϫ
ⲟⲩ	PPERO	ⲟⲩ
ⲉϩⲣⲁⲓ̈	ADV	ⲉϩⲣⲁⲓ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ϫ︤ⲃ︥ⲃⲉⲥ⳿	N	ϫⲃⲃⲉⲥ
ⲉⲧ	CREL	ⲉⲧ
ϫⲉⲣⲟ̂	V	ϫⲉⲣⲟ
 =–.	PUNCT	.
Ⲛ̄	PREP	ⲛ
ⲑ	ART	ⲧ
ⲉ	N	ϩⲉ
ⲟⲛ⳿	ADV	ⲟⲛ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲛ̄	ART	ⲛ
ⲣⲱⲙⲉ	N	ⲣⲱⲙⲉ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲛⲁ	PPOS	ⲛⲁ
ⲟⲓⲕⲟⲛⲟⲙⲟⲥ⳿	N	ⲟⲓⲕⲟⲛⲟⲙⲟⲥ
ϫⲓ	V	ϫⲓ
ϩⲛⲁⲩ	N	ϩⲛⲁⲩ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
.	PUNCT	.
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ⲧⲁⲙⲟ̂	V	ⲧⲁⲙⲟ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲛ	PPERO	ⲛ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ϭⲱⲗ︤ⲡ︥	V	ϭⲱⲗⲡ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲛ̄	PREP	ⲛ
ⲧⲉⲕ	PPOS	ⲧⲉⲕ
ⲕⲁⲕⲓⲁ⳿	N	ⲕⲁⲕⲓⲁ
ϫⲉ	CONJ	ϫⲉ
ⲙ̄ⲡⲉ	ANEGPST	ⲙⲡⲉ
ⲕ	PPERS	ⲕ
ⲟⲩⲱϣ	V	ⲟⲩⲱϣ
ⲁⲛ	NEG	ⲁⲛ
ⲡⲉ⳿	COP	ⲡⲉ
ⲉ	PREP	ⲉ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲛ	ART	ⲛ
ϣⲏⲣⲉ	N	ϣⲏⲣⲉ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ϫⲓ	V	ϫⲓ
ⲟⲩ	ART	ⲟⲩ
ⲡⲣⲟⲥⲫⲟⲣⲁ⳿	N	ⲡⲣⲟⲥⲫⲟⲣⲁ
ⲉ	PREP	ⲉ
ⲧⲉϥ	PPOS	ⲧⲉϥ
ⲉⲕⲕⲗⲏⲥⲓⲁ⳿	N	ⲉⲕⲕⲗⲏⲥⲓⲁ
.	PUNCT	.
ⲏ̂	CONJ	ⲏ
ⲉⲣ̄	V	ⲉⲣ
ⲟⲩ	ART	ⲟⲩ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲛⲁⲛⲟⲩ	VBD	ⲛⲁⲛⲟⲩ
ϥ	PPERS	ϥ
ⲛ̄	PREP	ⲛ
ⲟⲩⲱⲧ⳿	N	ⲟⲩⲱⲧ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡ	ART	ⲡ
ⲣⲁⲛ⳿	N	ⲣⲁⲛ
ⲛ̄	PREP	ⲛ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
.	PUNCT	.
ⲕ	PPERS	ⲕ
ⲛⲁ	FUT	ⲛⲁ
ⲣⲁϣⲉ	V	ⲣⲁϣⲉ
ⲉⲕϣⲁⲛ	ACOND_PPERS	ⲉⲕϣⲁⲛ
ⲥⲱⲧ︤ⲙ︥	V	ⲥⲱⲧⲙ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲉ	PREP	ⲉ
ⲙ	ART	ⲙ
ⲙⲁ⳿	N	ⲙⲁ
ⲛ̄	PREP	ⲛ
ϣⲓⲛⲉ	V	ϣⲓⲛⲉ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲇⲁⲓⲙⲱⲛ⳿	N	ⲇⲁⲓⲙⲱⲛ
.	PUNCT	.
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϫⲉ	CONJ	ϫⲉ
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ϩⲱⲱ	IMOD	ϩⲱⲱ
ⲕ⳿	PPERO	ⲕ
ⲕ	PPERS	ⲕ
ⲟⲩⲱ̂ϣ︤ⲧ︥	V	ⲟⲩⲱϣⲧ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲕ︤	PPERS	ⲕ
ϣ︦ⲙ︥ϣⲉ	V	ϣⲙϣⲉ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲥⲱⲛ︤ⲧ︥	N	ⲥⲱⲛⲧ
ⲡⲁⲣⲁ	PREP	ⲡⲁⲣⲁ
ⲡ	ART	ⲡ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ⲥⲱⲛ︤ⲧ︥	V	ⲥⲱⲛⲧ
ⲛ̄	PREP	ⲛ
ⲛ̄ⲕⲁ⳿	N	ⲛⲕⲁ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲥⲙⲁⲙⲁⲁⲧ⳿	VSTAT	ⲥⲙⲁⲙⲁⲁⲧ
ϣⲁ	PREP	ϣⲁ
ⲉⲛⲉϩ⳿	N	ⲉⲛⲉϩ
ⲛ̄	PREP	ⲛ
ⲉⲛⲉϩ⳿	N	ⲉⲛⲉϩ
·	PUNCT	·
ⲉϩⲟⲩⲉ	ADV	ⲉϩⲟⲩⲉ
ⲥⲱⲧ︤ⲙ︥	V	ⲥⲱⲧⲙ
ⲏ̂	CONJ	ⲏ
ⲉ	PREP	ⲉ
ⲛⲁⲩ	V	ⲛⲁⲩ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲛⲁ	VSTAT	ⲛⲁ
ⲉ	PREP	ⲉ
ⲣⲁⲧ︤	N	ⲣⲁⲧ
ϥ︥	PPERO	ϥ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲙⲁ⳿	N	ⲙⲁ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩ	PPERS	ⲟⲩ
ⲉⲡⲓⲕⲁⲗⲉⲓ⳿	V	ⲉⲡⲓⲕⲁⲗⲉⲓ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ϥ	N	ϥ
ⲛ̄ϩⲏⲧ	PREP	ⲛϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
,	PUNCT	,
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲥⲙⲟⲩ	V	ⲥⲙⲟⲩ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
